Team A,Team B,Winner,Victory,Victory Turn,Map played,Map ban1,Map ban2,Map ban3,Map ban4,Map ban5,Map ban6,Ban1,Ban2,Ban3,Ban4,Ban5,Ban6,Ban7,Ban8,Ban9,Ban10,Ban11,Ban12,Ban13,Ban14,PickA1,PickB1,PickA2,PickB2,PickA3,PickB3,PickA4,PickB4,PlayerA1,PlayerB1,PlayerA2,PlayerB2,PlayerA3,PlayerB3,PlayerA4,PlayerB4,Date,Division
795731488757776404,1271427540841398312,795731488757776404,UNKNOWN,57,pangaea standard,tilted axis,rich highlands,inland sea,lakes,seven seas,primordial,alexander,julius caesar,ambiorix,genghis khan,kupe,tomyris,trajan,lautaro,shaka,catherine de medici (black queen),ba trieu,suleiman (kanuni),poundmaker,matthias corvinus,simon bolivar,philip ii,wu zetian,basil ii,jadwiga,kublai khan (mongolia),nader shah,qin (unifier),291529905676615680,343365842739789834,218802135632969728,241866900991115264,269550035774078978,261883154095144960,269629070445248512,213989603412148226,28/01/25,1
1051866126369443913,751902039964909649,751902039964909649,Scientific,124,seven seas,rich highlands,tilted axis,lakes,inland sea,pangaea standard,primordial,lautaro,gitarja,tokugawa,harald hardrada,tomyris,genghis khan,hojo tokimune,catherine de medici (black queen),philip ii,basil ii,alexander,dido,wu zetian,kupe,julius caesar,trajan,elizabeth i,shaka,gilgamesh,hammurabi,nader shah,victoria,216834792040300544,221995666333892609,263300012530728960,111335315238641664,368436476708388864,436574185716973579,652800467860193281,241995821090996224,30/01/25,1
1058462045470720000,708475004744106024,708475004744106024,CC,56,primordial,pangaea standard,inland sea,rich highlands,tilted axis,lakes,seven seas,julius caesar,harald hardrada,lautaro,gitarja,catherine de medici (black queen),kupe,dido,philip ii,hojo tokimune,tokugawa,trajan,alexander,pedro ii,wilhelmina,joao iii,tomyris,victoria,elizabeth i,john curtin,gilgamesh,cyrus,eleanor of aquitaine (england),160871523387834368,202854878899470336,229691587251142656,330123383264116747,746782025016410193,507199986317000704,264317358670217216,194049495720394752,30/01/25,1
1051869530848243792,708475864110596107,708475864110596107,CC,93,,pangaea standard,inland sea,lakes,primordial,seven seas,tilted axis,lautaro,genghis khan,simon bolivar,catherine de medici (black queen),poundmaker,philip ii,alexander,kupe,shaka,menelik ii,wu zetian,suleiman (kanuni),basil ii,trajan,eleanor of aquitaine (england),saladin (vizier),kublai khan (mongolia),montezuma,tamar,dido,tokugawa,soundiata keita,332124733351002123,258673242967900160,249896184498487296,639072903685603338,836025628158853212,1018630081477877801,130637505773961216,141511420146614272,30/01/25,1
751902039964909649,1051869530848243792,751902039964909649,CC,114,rich highlands,inland sea,pangaea standard,tilted axis,lakes,primordial,seven seas,shaka,saladin (vizier),genghis khan,menelik ii,alexander,poundmaker,kupe,lautaro,kublai khan (mongolia),trajan,dido,hammurabi,elizabeth i,simon bolivar,tokugawa,montezuma,ambiorix,philip ii,harald varangian,jadwiga,victoria age of steam,eleanor of aquitaine (england),311217670181879818,249896184498487296,221995666333892609,223420143567503360,436574185716973579,341575208773222402,241995821090996224,332124733351002123,06/02/25,1
652143977260122125,795731488757776404,652143977260122125,CC,68,rich highlands,inland sea,pangaea standard,tilted axis,lakes,primordial,seven seas,shaka,colombie,genghis khan,menelik ii,alexander,poundmaker,france bq,lautaro,kublai khan (mongolia),espagne,montezuma,tokugawa,chandra,ghandhi,vareg,scythie,trajan,gaule,saladin,kupe,eleanor of aquitaine,kanuni,181879507756515328,218802135632969728,183282110902173698,269550035774078978,201821608506032129,301329675991515137,225335340771180555,353548501247983627,06/02/25,1
1271427540841398312,708475864110596107,1271427540841398312,CC,90,tilted axis,rich highlands,primordial,lakes,seven seas,pangaea classic,pangaea standard,tomyris,philip ii,genghis khan,harald hardrada,catherine de medici (black queen),gitarja,kupe,basil ii,lautaro,julius caesar,kublai khan (mongolia),pedro ii,wu zetian,alexander,hojo tokimune,elizabeth i,dido,joao iii,simon bolivar,trajan,cleopatra (egyptian),suleiman (kanuni),409068426317922305,639072903685603338,343365842739789834,1018630081477877801,213989603412148226,386294503054508042,241866900991115264,258673242967900160,06/02/25,1
751902039964909649,1058462045470720000,751902039964909649,CC,53,lakes,tilted axis,pangaea standard,primordial,rich highlands,pangaea classic,seven seas,alexander,kupe,shaka,tomyris,lautaro,saladin (vizier),julius caesar,catherine de medici (black queen),genghis khan,philip ii,kublai khan (mongolia),ambiorix,trajan,hammurabi,menelik ii,simon bolivar,tokugawa,montezuma,nader shah,harald varangian,mattias corvinus,tamar,221995666333892609,276113067732107265,186417692960358401,264317358670217216,436574185716973579,229691587251142656,241995821090996224,746782025016410193,07/02/25,1
1271427540841398312,1051866126369443913,1051866126369443913,CC,84,tilted axis,seven seas,lakes,inland sea,pangaea standard,primordial,rich highlands,tomyris,gitarja,genghis khan,kupe,catherine de medici (black queen),philip ii,lautaro,harald hardrada,julius caesar,tokugawa,basil ii,pedro ii,suleiman (kanuni),alexander,hojo tokimune,elizabeth i,victoria,dido,trajan,gilgamesh,simon bolivar,montezuma,261883154095144960,216834792040300544,343365842739789834,652800467860193281,241866900991115264,368436476708388864,213989603412148226,263300012530728960,07/02/25,1
708475864110596107,999636304654520330,999636304654520330,CC,90,rich highlands,primordial,inland sea,tilted axis,seven seas,pangaea standard,lakes,catherine de medici (black queen),genghis khan,lautaro,menelik ii,tokugawa,poundmaker,shaka,kupe,philip ii,saladin (vizier),simon bolivar,trajan,soundiata keita,hammurabi,ambiorix,kublai khan (mongolia),montezuma,harald hardrada (varangian),peter,eleanor of aquitaine (england),nader shah,cyrus,141511420146614272,279287078267650048,1026948986067750952,335129808080207892,258673242967900160,688507156735328383,639072903685603338,219802072973836288,07/02/25,1
1051869530848243792,652143977260122125,652143977260122125,Scientific,145,tilted axis,pangaea standard,primordial,lakes,rich highlands,seven seas,pangaea classic,tomyris,harald hardrada,gitarja,philip ii,julius caesar,catherine de medici (black queen),dido,tokugawa,hojo tokimune,elizabeth i,eleanor of aquitaine (england),basil ii,trajan,harald varangian,kupe,victoria,joao iii,wilhelmina,alexander,kublai khan (mongolia),lautaro,genghis khan,277107529236873216,181879507756515328,332124733351002123,201821608506032129,223420143567503360,222367163888041984,281824528550592513,272887794165350401,08/02/25,1
652143977260122125,999636304654520330,652143977260122125,CC,64,rich highlands,primordial,pangaea standard,inland sea,seven seas,tilted axis,lakes,lautaro,menelik ii,harald varangian,genghis khan,kublai khan (mongolia),tokugawa,montezuma,saladin (vizier),philip ii,kupe,catherine de medici (black queen),suleiman (kanuni),eleanor of aquitaine (england),dido,poundmaker,shaka,jadwiga,trajan,john curtin,simon bolivar,nader shah,elizabeth i,183282110902173698,688507156735328383,222367163888041984,335129808080207892,201821608506032129,219802072973836288,168480406285451266,667481497229459488,08/02/25,1
795731488757776404,751902039964909649,751902039964909649,CC,55,lakes,seven seas,pangaea classic,pangaea standard,tilted axis,rich highlands,primordial,ambiorix,genghis khan,saladin (vizier),menelik ii,tomyris,alexander,shaka,tokugawa,gilgamesh,lautaro,julius caesar,trajan,hammurabi,harald varangian,catherine de medici (black queen),montezuma,kublai khan (mongolia),simon bolivar,jadwiga,kupe,nader shah,cyrus,291529905676615680,436574185716973579,218802135632969728,111335315238641664,375952313249955840,221995666333892609,275644167613579268,186417692960358401,09/02/25,1
1051866126369443913,708475004744106024,1051866126369443913,CC,109,primordial,lakes,seven seas,pangaea standard,tilted axis,rich highlands,inland sea,tomyris,gitarja,tokugawa,harald hardrada,catherine de medici (black queen),philip ii,lautaro,joao iii,hojo tokimune,dido,pedro ii,basil ii,gilgamesh,harald varangian,kupe,elizabeth i,victoria age of steam,victoria,julius caesar,wilhelmina,trajan,cleopatra (egyptian),263300012530728960,507199986317000704,652800467860193281,198133913183453186,216834792040300544,330123383264116747,368436476708388864,1007705241577340984,10/02/25,1
708475004744106024,795731488757776404,795731488757776404,CC,53,primordial,tilted axis,pangaea standard,seven seas,lakes,rich highlands,pangaea classic,catherine de medici (black queen),philip ii,tomyris,harald hardrada,eleanor of aquitaine (england),julius caesar,joao iii,genghis khan,elizabeth i,kupe,gilgamesh,victoria age of steam,kublai khan (mongolia),dido,gitarja,tokugawa,victoria,hojo tokimune,wilhelmina,trajan,cleopatra (egyptian),nader shah,170175103118737409,269629070445248512,202854878899470336,275644167613579268,194049495720394752,291529905676615680,507199986317000704,269550035774078978,12/02/25,1
708475864110596107,1051866126369443913,1051866126369443913,CC,82,rich highlands,tilted axis,lakes,inland sea,pangaea standard,primordial,seven seas,lautaro,kupe,kublai khan (mongolia),menelik ii,ambiorix,tokugawa,shaka,philip ii,catherine de medici (black queen),genghis khan,montezuma,hammurabi,suleiman (kanuni),eleanor of aquitaine (england),saladin (vizier),poundmaker,trajan,simon bolivar,cleopatra (egyptian),elizabeth i,ludwig ii,robert the bruce,258673242967900160,707929315937091594,386294503054508042,216834792040300544,1018630081477877801,263300012530728960,639072903685603338,368436476708388864,12/02/25,1
751902039964909649,708475004744106024,751902039964909649,CC,67,lakes,tilted axis,seven seas,primordial,inland sea,pangaea standard,rich highlands,alexander,menelik ii,lautaro,kupe,tomyris,tokugawa,catherine de medici (black queen),gilgamesh,julius caesar,ambiorix,basil ii,montezuma,trajan,hammurabi,genghis khan,wu zetian,lady six sky,shaka,harald varangian,simon bolivar,cyrus,qin (mandate of heaven),111335315238641664,202854878899470336,423149190185615371,330123383264116747,436574185716973579,194049495720394752,241995821090996224,151681510066356224,13/02/25,1
1058462045470720000,1051869530848243792,1051869530848243792,CC,66,seven seas,primordial,lakes,rich highlands,inland sea,tilted axis,pangaea standard,alexander,philip ii,julius caesar,harald hardrada,tomyris,lautaro,catherine de medici (black queen),genghis khan,joao iii,hojo tokimune,kublai khan (mongolia),trajan,lady six sky,simon bolivar,gitarja,dido,elizabeth i,kupe,wu zetian,hammurabi,matthias corvinus,jadwiga,276113067732107265,138707127769366529,229691587251142656,277107529236873216,183920385891237889,249896184498487296,746782025016410193,130637505773961216,14/02/25,1
999636304654520330,1058462045470720000,1058462045470720000,CC,110,pangaea standard,inland sea,tilted axis,seven seas,rich highlands,primordial,lakes,tomyris,gilgamesh,simon bolivar,julius caesar,menelik ii,catherine de medici (black queen),wu zetian,shaka,alexander,lautaro,basil ii,montezuma,saladin (vizier),matthias corvinus,trajan,kublai khan (mongolia),philip ii,ambiorix,jadwiga,tamar,nader shah,pachacuti,202166200065589249,286830428050948097,688507156735328383,238051165571514369,335129808080207892,746782025016410193,667481497229459488,264317358670217216,16/02/25,1
1058462045470720000,1271427540841398312,1058462045470720000,CC,74,rich highlands,inland sea,primordial,lakes,seven seas,pangaea standard,tilted axis,saladin (vizier),menelik ii,catherine de medici (black queen),kupe,alexander,genghis khan,shaka,ambiorix,lautaro,tokugawa,tamar,simon bolivar,wu zetian,basil ii,kublai khan (mongolia),poundmaker,philip ii,seondeok,montezuma,chandragupta,trajan,victoria age of steam,286830428050948097,261883154095144960,276113067732107265,409068426317922305,264317358670217216,241866900991115264,746782025016410193,343365842739789834,16/02/25,1
1271427540841398312,652143977260122125,652143977260122125,CC,94,pangaea standard,rich highlands,primordial,lakes,inland sea,seven seas,tilted axis,wu zetian,julius caesar,menelik ii,lautaro,shaka,genghis khan,tomyris,catherine de medici (black queen),ambiorix,basil ii,ba trieu,jadwiga,amanitore,gilgamesh,alexander,trajan,simon bolivar,kublai khan (mongolia),nader shah,montezuma,cyrus,harald varangian,261883154095144960,409280636818292736,213989603412148226,222367163888041984,241866900991115264,183282110902173698,343365842739789834,181879507756515328,19/02/25,1
708475864110596107,751902039964909649,751902039964909649,CC,75,pangaea standard,rich highlands,inland sea,primordial,tilted axis,seven seas,lakes,tokugawa,julius caesar,kublai khan (mongolia),alexander,shaka,tomyris,lautaro,genghis khan,wu zetian,catherine de medici (black queen),montezuma,philip ii,simon bolivar,hojo tokimune,kupe,ambiorix,hammurabi,trajan,cyrus,matthias corvinus,jaravarman vii,robert the bruce,639072903685603338,221995666333892609,141511420146614272,111335315238641664,1018630081477877801,423149190185615371,258673242967900160,436574185716973579,19/02/25,1
1051866126369443913,1051869530848243792,1051869530848243792,CC,71,primordial,pangaea standard,inland sea,tilted axis,lakes,rich highlands,seven seas,tokugawa,harald hardrada,catherine de medici (black queen),philip ii,tomyris,gitarja,dido,joao iii,kupe,hojo tokimune,victoria age of steam,lautaro,wilhelmina,genghis khan,julius caesar,victoria,eleanor of aquitaine (england),elizabeth i,kublai khan (mongolia),trajan,montezuma,kublai khan (china),216834792040300544,332124733351002123,652800467860193281,138707127769366529,707929315937091594,249896184498487296,263300012530728960,836025628158853212,20/02/25,1
652143977260122125,708475864110596107,652143977260122125,CC,54,pangaea standard,primordial,rich highlands,inland sea,lakes,tilted axis,seven seas,trajan,julius caesar,alexander,genghis khan,tomyris,shaka,kublai khan (mongolia),menelik ii,lautaro,catherine de medici (black queen),philip ii,ambiorix,matthias corvinus,basil ii,wu zetian,kupe,jadwiga,montezuma,nader shah,cyrus,hammurabi,mvemba a nzinga,181879507756515328,639072903685603338,222367163888041984,258673242967900160,168480406285451266,386294503054508042,272887794165350401,1018630081477877801,20/02/25,1
999636304654520330,795731488757776404,999636304654520330,CC,124,primordial,rich highlands,tilted axis,lakes,inland sea,pangaea standard,seven seas,tokugawa,philip ii,lautaro,harald hardrada,tomyris,joao iii,timeout,kupe,harald varangian,genghis khan,trajan,dido,gilgamesh,kublai khan (mongolia),gitarja,hojo tokimune,elizabeth i,catherine de medici (black queen),nader shah,victoria,basil ii,hammurabi,202166200065589249,291529905676615680,232976189851959297,353548501247983627,591692786919800832,551382710304899072,279287078267650048,269629070445248512,21/02/25,1
999636304654520330,751902039964909649,751902039964909649,CC,76,seven seas,rich highlands,tilted axis,lakes,inland sea,pangaea standard,primordial,trajan,genghis khan,philip ii,harald hardrada,harald varangian,kupe,saladin (vizier),alexander,lautaro,tomyris,joao iii,hojo tokimune,wu zetian,kublai khan (mongolia),tokugawa,hammurabi,julius caesar,catherine de medici (black queen),montezuma,lady six sky,nader shah,victoria,667481497229459488,423149190185615371,219802072973836288,143088067337650176,202166200065589249,436574185716973579,688507156735328383,241995821090996224,21/02/25,1
1051869530848243792,708475004744106024,1051869530848243792,CC,92,primordial,pangaea standard,tilted axis,lakes,seven seas,inland sea,rich highlands,tomyris,philip ii,julius caesar,joao iii,tokugawa,gitarja,elizabeth i,harald hardrada,hojo tokimune,dido,catherine de medici (black queen),wilhelmina,victoria age of steam,lautaro,kupe,victoria,harald varangian,eleanor of aquitaine (england),kublai khan (china),trajan,kublai khan (mongolia),cleopatra (egyptian),277107529236873216,170175103118737409,130637505773961216,330123383264116747,249896184498487296,202854878899470336,281824528550592513,194049495720394752,21/02/25,1
751902039964909649,1271427540841398312,751902039964909649,CC,78,pangaea standard,tilted axis,rich highlands,inland sea,lakes,primordial,seven seas,alexander,julius caesar,tomyris,genghis khan,wu zetian,catherine de medici (black queen),lautaro,tokugawa,trajan,ambiorix,lady six sky,simon bolivar,kublai khan (mongolia),jadwiga,shaka,menelik ii,kupe,montezuma,ba trieu,matthias corvinus,hammurabi,nader shah,186417692960358401,409068426317922305,423149190185615371,241866900991115264,436574185716973579,213989603412148226,311217670181879818,343365842739789834,22/02/25,1
1058462045470720000,652143977260122125,652143977260122125,Cultural,116,seven seas,tilted axis,primordial,lakes,pangaea standard,rich highlands,inland sea,joao iii,julius caesar,philip ii,genghis khan,hojo tokimune,lautaro,alexander,kublai khan (mongolia),dido,harald hardrada,wu zetian,menelik ii,trajan,suleiman (muhtesem),gitarja,tokugawa,catherine de medici (black queen),kupe,lady six sky,montezuma,elizabeth i,jadwiga,276113067732107265,183282110902173698,286830428050948097,225335340771180555,238051165571514369,272887794165350401,746782025016410193,222367163888041984,23/02/25,1
708475864110596107,1058462045470720000,708475864110596107,Scientific,124,rich highlands,pangaea standard,tilted axis,primordial,lakes,inland sea,seven seas,philip ii,saladin (vizier),tokugawa,kupe,kublai khan (mongolia),genghis khan,ambiorix,menelik ii,poundmaker,lautaro,trajan,montezuma,alexander,tamar,catherine de medici (black queen),shaka,hammurabi,harald varangian,robert the bruce,simon bolivar,dido,john curtin,639072903685603338,286830428050948097,258673242967900160,276113067732107265,141511420146614272,229691587251142656,1018630081477877801,746782025016410193,26/02/25,1
795731488757776404,1051869530848243792,795731488757776404,CC,72,primordial,tilted axis,pangaea standard,inland sea,lakes,seven seas,rich highlands,tokugawa,harald hardrada,tomyris,philip ii,gilgamesh,gitarja,dido,joao iii,elizabeth i,harald varangian,catherine de medici (black queen),lady six sky,julius caesar,wilhelmina,kupe,hojo tokimune,eleanor of aquitaine (england),victoria,trajan,kublai khan (china),kublai khan (mongolia),victoria age of steam,218802135632969728,223420143567503360,291529905676615680,332124733351002123,269550035774078978,138707127769366529,269629070445248512,249896184498487296,26/02/25,1
1051866126369443913,795731488757776404,795731488757776404,CC,77,rich highlands,pangaea standard,inland sea,lakes,seven seas,primordial,tilted axis,jadwiga,genghis khan,shaka,menelik ii,tokugawa,lautaro,poundmaker,kupe,saladin (vizier),ambiorix,harald varangian,eleanor of aquitaine (england),robert the bruce,simon bolivar,catherine de medici (black queen),kublai khan (mongolia),trajan,montezuma,ludwig ii,philip ii,dido,alexander,707929315937091594,275644167613579268,263300012530728960,269550035774078978,368436476708388864,375952313249955840,652800467860193281,291529905676615680,27/02/25,1
708475004744106024,999636304654520330,999636304654520330,CC,118,rich highlands,tilted axis,pangaea standard,seven seas,lakes,primordial,inland sea,saladin (vizier),menelik ii,shaka,genghis khan,hammurabi,lautaro,kupe,tokugawa,trajan,ambiorix,basil ii,montezuma,simon bolivar,poundmaker,philip ii,harald varangian,kublai khan (mongolia),catherine de medici (black queen),ludwig ii,dido,cyrus,matthias corvinus,194049495720394752,335129808080207892,198133913183453186,279287078267650048,507199986317000704,688507156735328383,151681510066356224,313016976488398849,28/02/25,1
1271427540841398312,708475004744106024,708475004744106024,CC,111,rich highlands,lakes,inland sea,pangaea standard,tilted axis,primordial,seven seas,philip ii,menelik ii,shaka,saladin (vizier),alexander,kupe,catherine de medici (black queen),genghis khan,tokugawa,ambiorix,poundmaker,jadwiga,kristina,simon bolivar,lautaro,kublai khan (mongolia),trajan,montezuma,eleanor of aquitaine (england),harald varangian,matthias corvinus,victoria age of steam,399531664667312168,202854878899470336,241866900991115264,1007705241577340984,409068426317922305,330123383264116747,213989603412148226,170175103118737409,01/03/25,1
1058462045470720000,1051866126369443913,1051866126369443913,Scientific,123,rich highlands,tilted axis,pangaea standard,primordial,lakes,seven seas,inland sea,philip ii,tamar,catherine de medici (black queen),menelik ii,lautaro,genghis khan,julius caesar,tokugawa,montezuma,saladin (vizier),shaka,kublai khan (mongolia),harald varangian,simon bolivar,kupe,poundmaker,trajan,ambiorix,robert the bruce,alexander,hammurabi,elizabeth i,746782025016410193,368436476708388864,276113067732107265,263300012530728960,238051165571514369,652800467860193281,264317358670217216,216834792040300544,02/03/25,1
708475864110596107,708475004744106024,708475864110596107,CC,100,lakes,primordial,tilted axis,pangaea standard,inland sea,rich highlands,seven seas,philip ii,kupe,shaka,lautaro,tomyris,julius caesar,catherine de medici (black queen),alexander,kublai khan (mongolia),genghis khan,trajan,matthias corvinus,ambiorix,montezuma,menelik ii,wu zetian,simon bolivar,harald varangian,poundmaker,hammurabi,dido,(sub,258673242967900160,507199986317000704,141511420146614272,1007705241577340984,639072903685603338,151681510066356224,1018630081477877801,330123383264116747,05/03/25,1
1271427540841398312,999636304654520330,1271427540841398312,CC,90,pangaea standard,inland sea,rich highlands,primordial,lakes,tilted axis,seven seas,kublai khan (mongolia),julius caesar,wu zetian,genghis khan,shaka,alexander,tomyris,catherine de medici (black queen),menelik ii,lautaro,simon bolivar,montezuma,basil ii,theodora,ambiorix,jadwiga,kupe,trajan,nader shah,matthias corvinus,cyrus,hammurabi,409068426317922305,232976189851959297,225277183604555779,279287078267650048,261883154095144960,313016976488398849,241866900991115264,667481497229459488,05/03/25,1
751902039964909649,652143977260122125,652143977260122125,CC,110,rich highlands,inland sea,lakes,primordial,pangaea standard,tilted axis,seven seas,trajan,genghis khan,shaka,kublai khan (mongolia),kupe,menelik ii,alexander,theodora,basil ii,poundmaker,hammurabi,harald varangian,matthias corvinus,montezuma,saladin (vizier),lautaro,simon bolivar,scotland,soundiata keita,mansa musa,philip ii,jadwiga,423149190185615371,183282110902173698,111335315238641664,201821608506032129,143088067337650176,181879507756515328,436574185716973579,222367163888041984,07/03/25,1
1051869530848243792,1271427540841398312,1051869530848243792,CC,116,tilted axis,lakes,rich highlands,pangaea standard,primordial,inland sea,7seas,julius caesar,genghis khan,tomyris,gitarja,wu zetian,harald hardrada,lautaro,kupe,catherine de medici (black queen),pedro ii,kublai khan (mongolia),elizabeth i,montezuma,alexander,joao iii,hojo tokimune,philip ii,trajan,wilhelmina,gilgamesh,kublai khan (china),victoria,332124733351002123,332989880949014529,249896184498487296,146372249119621131,223420143567503360,213989603412148226,836025628158853212,241866900991115264,07/03/25,1
652143977260122125,1051866126369443913,652143977260122125,CC,53,seven seas,primordial,lakes,inland sea,pangaea standard,tilted axis,rich highlands,philip ii,harald varangian,julius caesar,kupe,kublai khan (mongolia),genghis khan,matthias corvinus,catherine de medici (black queen),lautaro,menelik ii,trajan,nader shah,suleiman (kanuni),simon bolivar,harald hardrada,montezuma,wu zetian,shaka,tomyris,dido,hammurabi,eleanor of aquitaine (france),181879507756515328,263300012530728960,201821608506032129,313600848892657665,168480406285451266,652800467860193281,272887794165350401,368436476708388864,07/03/25,1
708475864110596107,1051869530848243792,708475864110596107,CC,70,rich highlands,primordial,unknown,lakes,tilted axis,pangaea standard,seven seas,ambiorix,menelik ii,shaka,saladin (vizier),philip ii,lautaro,poundmaker,genghis khan,catherine de medici (black queen),kupe,dido,hammurabi,trajan,tamar,kublai khan (mongolia),tokugawa,harald varangian,montezuma,robert the bruce,simon bolivar,cyrus,matthias corvinus,639072903685603338,332124733351002123,258673242967900160,277107529236873216,141511420146614272,836025628158853212,1018630081477877801,130637505773961216,07/03/25,1
